,Année,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,Prod.(t)
0,2000,203500.0,1528720.0,320531.6,8750.0,12630.0,83.6,13200.0,536720.0,31720.0,1006845.0,7840.0,61000.0,1680.0,547920.0,27550,396800.0,630000.0,872880.0,12090.0,847000,609700.0,54400.0,115920.0,48055.0,122280.0,1246400.0,1534140.0,347750.0,412.5,3055.2,219820.0,481150.0,22080.0,1458.0,603000.0,826830.0,747130.0,172800.0,121789.6,3600.0,678870.0,64480.0,72750,260400.0,923520.0,50760.0,286710.0,6700.0,463320.0,211110.0,1478020.0,482400.0,479040.0,473600.0,546500.0,390000.0,481390.0,360360.0,883200.0,1300643.0,522200.0,1287350.0,320400,10200.0,17630.0,754.0,182650.0,115033.0,63000.0,248860.0,241870,552750.0,5220.0,25350.0,0,722000.0,1226703.6,328002.0,614100.0,1506052.0,236550.0,195750.0,1260.0,6776.0,369810.0,772150.0,46673.0,140145.0,1121100,14935.0,319200.0,16,3612.0,3032.0,203600.0,35667737.1
1,2001,168048.0,1368475.4,243723.6,5728.3,11270.5,70.0,12530.7,483655.9,29688.0,891694.9,6900.0,50774.4,1047.0,526477.5,27040,265633.5,402950.4,734351.0,10146.0,710400,567072.0,49520.6,96534.9,40019.4,107953.6,1029701.5,1254171.4,366326.3,376.0,1723.2,176006.1,428965.0,10122.0,1155.0,478688.0,720047.8,536776.1,162296.1,101144.9,2208.8,485871.1,57153.6,71442,166600.0,744549.8,42300.0,239962.8,6265.0,302100.0,204675.3,1361455.2,368502.2,419250.0,391200.0,469695.0,329022.0,380250.0,286578.0,782212.5,1215566.0,455836.4,1161317.4,298980,6420.8,13427.4,750.0,156628.4,100660.8,62850.0,196127.0,191400,367800.0,4500.0,21477.5,0,661488.8,1012042.5,245276.2,500254.9,1470244.8,194438.4,145314.3,1183.0,3800.9,264000.0,671000.2,42834.0,128317.0,931200,12205.6,268294.0,16,3151.2,2415.0,172980.5,30174697.3
2,2002,211824.1,1478394.9,272930.2,5684.0,14084.0,260.0,15309.0,485314.7,33118.8,942811.8,6440.0,60418.8,1052.8,621371.4,31320,418393.8,727327.5,810387.1,12386.5,777000,705486.6,63694.9,134750.0,48661.2,149450.5,1295569.2,1629790.2,384282.0,371.0,3060.0,201377.6,521803.2,31030.8,1400.0,695384.8,867997.3,884875.6,189723.6,124375.5,5073.6,749818.8,63802.6,71550,349200.0,952656.6,48450.0,357119.4,6375.0,592500.0,246871.0,1430972.1,418180.5,585780.0,445900.0,504595.0,405685.0,461245.0,340377.0,892454.0,1349800.6,612874.2,1308629.7,295470,9508.2,16286.4,750.0,174060.0,106631.1,74123.0,254069.6,237850,655120.0,5500.0,28872.0,0,789197.2,1184687.5,312211.5,751255.4,1568277.7,228338.0,203898.0,1132.0,4115.6,569400.0,976647.3,57754.0,140655.0,1025240,14944.8,312641.4,16,3224.0,3272.4,212513.2,37276484.8
3,2003,127311.3,1290765.0,189139.5,3725.2,9415.7,195.0,7618.5,418746.8,24895.2,688847.1,6300.0,43068.0,1083.6,588699.9,20330,305750.5,562599.0,565589.7,7915.5,470400,630613.2,44325.2,94500.0,35203.2,75425.0,1144789.8,1102851.6,358307.8,165.6,1442.0,127808.5,364321.2,21800.7,1444.0,581711.4,619892.0,618484.2,108256.5,91749.4,3464.3,488998.2,44604.0,43725,252000.0,533162.5,34864.2,265123.8,4450.0,434700.0,238965.0,1136087.4,310085.1,452400.0,324700.0,394890.0,322120.5,354792.0,172000.0,895905.8,1181697.9,520337.5,1361946.0,185220,6206.4,10964.0,750.0,129060.0,58962.8,44676.0,178390.5,177100,456000.0,4560.0,20219.5,0,769616.4,947569.8,246632.1,591129.0,1480100.5,134076.0,99805.2,1128.0,2842.4,434700.0,696303.4,44472.0,97480.5,630604,11070.0,232119.6,0,3330.0,2473.8,169170.4,28993238.3
4,2004,228264.0,1613744.3,303600.0,3814.2,8874.9,260.0,12579.0,529725.6,31195.0,960817.3,6500.0,56255.0,825.6,666878.4,25850,377617.2,634496.4,785748.5,10477.5,742500,692214.6,60752.0,132000.0,57147.9,129006.4,1283403.8,1548895.4,399854.0,371.0,2047.5,186787.8,478332.0,24242.2,1420.0,685461.7,786268.8,751096.8,179907.3,137872.3,6809.6,623971.5,63156.0,65000,326400.0,881544.2,46005.0,350841.6,4097.5,557350.0,259102.5,1494887.1,441036.8,573750.0,487200.0,552959.0,399921.7,510215.5,349670.0,1014922.6,1449817.9,638054.7,1503896.8,310500,13656.5,24645.5,900.0,186874.5,139928.0,56105.5,280192.0,265660,630000.0,7800.0,29904.0,0,918116.8,1273014.0,316520.0,680285.6,1665720.0,206859.0,214584.0,1232.0,3450.5,509200.0,838761.2,57657.6,152695.0,1051050,20044.2,312362.2,0,3349.5,3174.6,212083.2,37524039.8
5,2005,183865.2,1440523.5,259600.0,4082.0,6581.8,260.0,12311.3,471709.7,29880.0,910418.7,4945.0,51989.0,941.8,609970.9,28000,354842.1,634420.5,703469.6,10931.4,663300,670506.6,54592.9,128784.7,48562.1,119923.6,1203154.2,1460699.4,396665.3,259.0,2100.0,147387.6,438846.0,23543.1,1141.0,649068.0,732112.9,775739.4,156821.5,110574.7,10165.0,618628.5,59586.0,66820,331650.0,792608.0,45574.9,376203.2,3940.0,549400.0,248595.6,1343807.0,377785.6,580900.0,428800.0,506880.0,388983.0,457530.0,292320.0,935051.6,1263358.0,601953.7,1353775.2,273000,16811.6,27410.8,600.0,173300.6,103726.0,56554.2,227029.5,213520,583620.0,7743.8,27475.5,0,795549.6,1149416.0,299447.6,704172.6,1519219.2,207396.0,192098.1,1220.0,2833.2,516800.0,884942.2,63469.8,134247.0,914550,17270.4,282619.5,0,3353.8,3329.2,208704.0,34748270.0
6,2006,227196.0,1421030.0,265200.0,4600.4,6769.5,60.0,10580.5,454740.0,29560.0,854593.4,5628.0,37259.0,1072.0,591371.2,20250,364980.0,563446.8,650845.4,11936.7,650000,661204.8,59560.0,127495.0,50868.0,118660.6,1150842.0,1261774.0,370052.0,280.0,1920.0,157866.8,451940.0,33899.7,968.0,653488.7,688808.6,683063.1,157773.0,125467.5,24857.0,488064.9,59966.2,55680,330000.0,715174.5,40924.4,378769.4,2970.0,507000.0,248873.0,1292076.6,392749.5,520950.0,420640.0,498750.0,374074.8,455055.0,266800.0,876705.0,1261749.3,563224.5,1299762.0,272060,26719.2,33990.0,750.0,179755.2,99205.2,56919.5,242412.7,259000,545820.0,6813.8,24792.0,0,791839.8,1061142.4,279388.8,627246.9,1476094.0,193672.6,206746.8,1041.0,2580.5,456960.0,803547.0,59709.2,132695.0,851200,18526.9,250140.0,0,3440.0,3360.0,190515.0,33159950.3
7,2007,198803.0,1335136.0,219300.0,7207.2,7848.0,42.0,10325.0,402870.3,23614.5,849261.0,7498.0,34386.3,1171.5,514046.0,20000,327123.5,527934.0,631118.6,7922.8,606000,489940.0,43930.4,116595.6,43666.8,119772.7,1134740.8,1263947.6,257805.0,346.5,2560.0,141984.0,376392.0,31790.4,2360.0,544577.5,642568.4,682301.0,154858.0,111104.7,23077.0,511032.0,55343.6,59800,231840.0,712260.0,36004.0,305867.4,5040.0,415800.0,192214.0,1292886.0,368903.6,520260.0,367820.0,495684.0,301664.0,395895.0,239560.0,791921.4,1201780.1,493895.6,1178697.8,240800,24657.6,30830.4,315.0,171131.4,91577.6,55159.5,221464.4,243880,520320.0,5494.5,23408.8,0,728591.1,1088809.8,285311.6,581580.7,1387623.0,161676.2,162252.0,826.0,4780.6,361590.0,744514.0,42700.2,117982.5,792000,16151.6,276548.8,0,3040.0,3078.0,188221.6,30666411.5
8,2008,202072.5,1569790.0,255360.0,7884.0,8744.0,65.6,12796.0,451676.0,35024.4,809321.0,13975.0,51624.0,1478.4,714798.0,25480,393273.1,636451.2,683376.4,12690.0,648900,662555.3,54209.0,145035.1,52866.0,132897.5,1463489.3,1408277.4,386729.9,306.0,4260.0,217734.3,507099.1,36160.0,2176.0,709512.0,691580.9,781052.8,178126.9,118178.5,24115.0,602529.6,61908.0,71760,347884.2,768090.7,55546.4,347110.5,6720.0,547225.7,273303.6,1259924.4,408121.6,589602.4,463720.0,552668.0,410137.0,519416.0,282000.0,1026644.2,1473494.0,641855.0,1591773.2,252000,23077.6,36745.2,504.0,206495.1,113442.0,64146.0,237363.6,243840,615865.6,6084.2,21825.6,0,998829.3,1160365.6,320169.0,710687.6,1826522.6,225461.6,217016.1,1000.4,6880.5,524486.6,895824.4,65703.0,150379.0,892440,17790.0,289487.4,0,2905.0,3560.7,214463.7,36757936.5
9,2009,189200.0,1562314.0,290360.0,7322.0,10065.5,32.8,7908.0,463603.5,22458.9,883169.8,8232.0,51380.0,1087.8,653064.4,27930,352403.1,564107.6,704192.9,16116.0,684440,655040.6,64246.6,107495.0,56301.8,96858.8,1388250.5,1381938.3,400297.5,210.0,3027.5,117184.5,345806.4,19915.2,2188.0,715065.0,684998.4,741292.9,151557.3,122035.9,5619.6,569802.4,44026.7,65000,346388.0,754297.2,40464.0,249366.0,6696.0,591160.0,259498.2,1382526.0,458955.4,583380.0,490775.0,588977.8,423412.5,523467.5,310980.0,1067119.0,1424041.3,622387.5,1554891.7,293760,7858.2,19070.4,364.0,215145.7,112909.2,48179.5,250836.0,240170,623860.0,4269.3,27157.0,0,950476.8,1227301.1,311841.6,701157.3,1762326.0,148599.0,150773.0,908.2,6304.0,528590.0,841523.7,69216.1,171162.0,911640,18432.4,278863.4,0,3711.3,3851.2,222909.4,36069496.1
